# time,position
4.984984984984984990e+00,3.180607852671011315e-01
4.994994994994994997e+00,3.173934853751962382e-01
5.005005005005005003e+00,3.167024052188694427e-01
5.015015015015015010e+00,3.159879395016524928e-01
5.025025025025025016e+00,3.152504927773214782e-01
5.035035035035035023e+00,3.144904794498966094e-01
5.045045045045045029e+00,3.137083237736422725e-01
5.055055055055055035e+00,3.129044598530671406e-01
5.065065065065065042e+00,3.120793316429240627e-01
5.075075075075075048e+00,3.112333929482100081e-01
5.085085085085085055e+00,3.103671074241662886e-01
5.095095095095095061e+00,3.094809485762782808e-01
5.105105105105105068e+00,3.085753997602756482e-01
5.115115115115115074e+00,3.076509541821322857e-01
5.125125125125125081e+00,3.067081148980661531e-01
5.135135135135135087e+00,3.057473948145395526e-01
5.145145145145145094e+00,3.047693166882589622e-01
5.155155155155155100e+00,3.037744131261749803e-01
5.165165165165165106e+00,3.027632265854824922e-01
5.175175175175175113e+00,3.017363093736205593e-01
5.185185185185185119e+00,3.006942236482724740e-01
5.195195195195195126e+00,2.996375107143420813e-01
5.205205205205205132e+00,2.985661791888004069e-01
5.215215215215215139e+00,2.974805723818817471e-01
5.225225225225225145e+00,2.963812401570891097e-01
5.235235235235235152e+00,2.952687305437080023e-01
5.245245245245245158e+00,2.941435897368062657e-01
5.255255255255255165e+00,2.930063620972341853e-01
5.265265265265265171e+00,2.918575901516243243e-01
5.275275275275275177e+00,2.906978145923917456e-01
5.285285285285285184e+00,2.895275742777337902e-01
5.295295295295295190e+00,2.883474062316302988e-01
5.305305305305305197e+00,2.871578456438434457e-01
5.315315315315315203e+00,2.859594258699177938e-01
5.325325325325325210e+00,2.847526784311802950e-01
5.335335335335335216e+00,2.835381330147402901e-01
5.345345345345345223e+00,2.823163174734894532e-01
5.355355355355355229e+00,2.810877578261020138e-01
5.365365365365365236e+00,2.798529782570344238e-01
5.375375375375375242e+00,2.786125011165255794e-01
5.385385385385385248e+00,2.773668469205967102e-01
5.395395395395395255e+00,2.761165343510515457e-01
5.405405405405405261e+00,2.748620802554761489e-01
5.415415415415415268e+00,2.736039996472389157e-01
5.425425425425425274e+00,2.723428057054907425e-01
5.435435435435435281e+00,2.710790097751648031e-01
5.445445445445445287e+00,2.698131213669766604e-01
5.455455455455455294e+00,2.685456481574243770e-01
5.465465465465465300e+00,2.672770959887883491e-01
5.475475475475475307e+00,2.660079688691313060e-01
5.485485485485485313e+00,2.647387689722984216e-01
5.495495495495495319e+00,2.634699966379172031e-01
5.505505505505505326e+00,2.622021503713976021e-01
5.515515515515515332e+00,2.609357268439320143e-01
5.525525525525525339e+00,2.596712208924950582e-01
5.535535535535535345e+00,2.584091255198439074e-01
5.545545545545545352e+00,2.571499318945179580e-01
5.555555555555555358e+00,2.558941293508391057e-01
5.565565565565565365e+00,2.546422053889116910e-01
5.575575575575575371e+00,2.533946456746222764e-01
5.585585585585585378e+00,2.521519340396399245e-01
5.595595595595595384e+00,2.509145524814160866e-01
5.605605605605605390e+00,2.496829811631845197e-01
5.615615615615615397e+00,2.484576984139614531e-01
5.625625625625625403e+00,2.472391807285454768e-01
5.635635635635635410e+00,2.460279027675175700e-01
5.645645645645645416e+00,2.448243373572410730e-01
5.655655655655655423e+00,2.436289553002392305e-01
5.665665665665665429e+00,2.424417925498230653e-01
5.675675675675675436e+00,2.412629512229775564e-01
5.685685685685685442e+00,2.400929393274731372e-01
5.695695695695695449e+00,2.389322543880183503e-01
5.705705705705705455e+00,2.377813834462597919e-01
5.715715715715715461e+00,2.366408030607821678e-01
5.725725725725725468e+00,2.355109793071082924e-01
5.735735735735735474e+00,2.343923677776990067e-01
5.745745745745745481e+00,2.332854135819532881e-01
5.755755755755755487e+00,2.321905513462082238e-01
5.765765765765765494e+00,2.311082052137389264e-01
5.775775775775775500e+00,2.300387888447586460e-01
5.785785785785785507e+00,2.289827054164186859e-01
5.795795795795795513e+00,2.279403476228084868e-01
5.805805805805805520e+00,2.269120976749555707e-01
5.815815815815815526e+00,2.258983273008254578e-01
5.825825825825825532e+00,2.248993977453218884e-01
5.835835835835835539e+00,2.239156597702866014e-01
5.845845845845845545e+00,2.229474536544994445e-01
5.855855855855855552e+00,2.219951091936784027e-01
5.865865865865865558e+00,2.210589457004794867e-01
5.875875875875875565e+00,2.201392720044968165e-01
5.885885885885885571e+00,2.192363864522625938e-01
5.895895895895895578e+00,2.183505769072471570e-01
5.905905905905905584e+00,2.174821207498588704e-01
5.915915915915915591e+00,2.166312848774442079e-01
5.925925925925925597e+00,2.157983257042877245e-01
5.935935935935935603e+00,2.149834891616121402e-01
5.945945945945945610e+00,2.141870106975781174e-01
5.955955955955955616e+00,2.134091152772845668e-01
5.965965965965965623e+00,2.126500173827683415e-01
5.975975975975975629e+00,2.119099210130044875e-01
5.985985985985985636e+00,2.111890196839061318e-01
5.995995995995995642e+00,2.104874964283243999e-01
6.006006006006005649e+00,2.098055237960486374e-01
6.016016016016015655e+00,2.091432638538061606e-01
6.026026026026025662e+00,2.085008681852624501e-01
6.036036036036035668e+00,2.078784778910210407e-01
6.046046046046045674e+00,2.072762235886235760e-01
6.056056056056055681e+00,2.066942254125497813e-01
6.066066066066065687e+00,2.061325930142174356e-01
6.076076076076075694e+00,2.055914255619824549e-01
6.086086086086085700e+00,2.050708117411388920e-01
6.096096096096095707e+00,2.045708297539187148e-01
6.106106106106105713e+00,2.040915473194921392e-01
6.116116116116115720e+00,2.036330216739674626e-01
6.126126126126125726e+00,2.031952995703909526e-01
6.136136136136135732e+00,2.027784172787471251e-01
6.146146146146145739e+00,2.023824005859584108e-01
6.156156156156155745e+00,2.020072647958854883e-01
6.166166166166165752e+00,2.016530147293270347e-01
6.176176176176175758e+00,2.013196447240198361e-01
